
=== Missing-Fill Actions 2025-06-03 15:08:37.471794 ===
App ID 2151480 filled columns: ['about_the_game']
App ID 2160030 filled columns: ['about_the_game']
App ID 2177010 filled columns: ['about_the_game']
App ID 2181350 filled columns: ['about_the_game']
App ID 2183950 filled columns: ['about_the_game']
App ID 2187840 filled columns: ['about_the_game']
App ID 2189590 filled columns: ['about_the_game']
App ID 2210050 filled columns: ['about_the_game']
App ID 2218620 filled columns: ['about_the_game']
App ID 2222930 filled columns: ['about_the_game']
App ID 2248020 filled columns: ['about_the_game']
App ID 2253510 filled columns: ['about_the_game']
App ID 2258960 filled columns: ['about_the_game']
App ID 2291120 filled columns: ['about_the_game']
App ID 2297330 filled columns: ['about_the_game']
App ID 2308550 filled columns: ['about_the_game']
App ID 2313950 filled columns: ['about_the_game']
App ID 2331390 filled columns: ['about_the_game']
App ID 2361840 filled columns: ['about_the_game']
App ID 2363790 filled columns: ['about_the_game']
App ID 2376080 filled columns: ['about_the_game']
App ID 2380720 filled columns: ['about_the_game']
App ID 2394840 filled columns: ['about_the_game']
App ID 2404190 filled columns: ['about_the_game']
App ID 2407900 filled columns: ['about_the_game']
App ID 2420040 filled columns: ['about_the_game']
App ID 2434080 filled columns: ['about_the_game']
App ID 2436240 filled columns: ['about_the_game']
App ID 2437560 filled columns: ['about_the_game']
App ID 2438170 filled columns: ['about_the_game']
App ID 2446180 filled columns: ['about_the_game']
App ID 2453760 filled columns: ['about_the_game']
App ID 2459550 filled columns: ['about_the_game']
App ID 2462110 filled columns: ['about_the_game']
App ID 2466410 filled columns: ['about_the_game']
App ID 2470780 filled columns: ['about_the_game']
App ID 2478130 filled columns: ['about_the_game']
App ID 2487680 filled columns: ['about_the_game']
App ID 2492560 filled columns: ['about_the_game']
App ID 2548140 filled columns: ['about_the_game']
App ID 2582480 filled columns: ['about_the_game']
App ID 2588390 filled columns: ['about_the_game']
App ID 2599180 filled columns: ['about_the_game']
App ID 2607080 filled columns: ['about_the_game']
App ID 2637050 filled columns: ['about_the_game']
App ID 2641000 filled columns: ['about_the_game']
App ID 2657130 filled columns: ['about_the_game']
App ID 2668620 filled columns: ['about_the_game']
App ID 2682220 filled columns: ['about_the_game']
App ID 2699280 filled columns: ['about_the_game']
App ID 2700450 filled columns: ['about_the_game']
App ID 2712480 filled columns: ['about_the_game']
App ID 2712960 filled columns: ['about_the_game']
App ID 2743530 filled columns: ['about_the_game']
App ID 2753900 filled columns: ['about_the_game']
App ID 2757390 filled columns: ['about_the_game']
App ID 2776480 filled columns: ['about_the_game']
App ID 2785860 filled columns: ['about_the_game']
App ID 2815060 filled columns: ['about_the_game']
App ID 2816720 filled columns: ['about_the_game']
App ID 2819330 filled columns: ['about_the_game']
App ID 2845310 filled columns: ['about_the_game']
App ID 2856990 filled columns: ['about_the_game']
App ID 2857560 filled columns: ['about_the_game']
App ID 2863350 filled columns: ['about_the_game']
App ID 2870070 filled columns: ['about_the_game']
App ID 2898820 filled columns: ['about_the_game']
App ID 2912100 filled columns: ['about_the_game']
App ID 2939360 filled columns: ['about_the_game']
App ID 2945860 filled columns: ['about_the_game']
App ID 2948630 filled columns: ['about_the_game']
App ID 2948690 filled columns: ['about_the_game']
App ID 2954050 filled columns: ['about_the_game']
App ID 2954420 filled columns: ['about_the_game']
App ID 2990990 filled columns: ['about_the_game']
App ID 2996080 filled columns: ['about_the_game']
App ID 3007360 filled columns: ['about_the_game']
App ID 3034980 filled columns: ['about_the_game']
App ID 3041960 filled columns: ['about_the_game']
App ID 3045690 filled columns: ['about_the_game']
App ID 3052330 filled columns: ['about_the_game']
App ID 3053520 filled columns: ['about_the_game']
App ID 3074240 filled columns: ['about_the_game']
App ID 3082820 filled columns: ['about_the_game']
App ID 3088440 filled columns: ['about_the_game']
App ID 3089580 filled columns: ['about_the_game']
App ID 3109290 filled columns: ['about_the_game']
App ID 3111800 filled columns: ['about_the_game']
App ID 3113750 filled columns: ['about_the_game']
App ID 3129400 filled columns: ['about_the_game']
App ID 3138780 filled columns: ['about_the_game']
App ID 3143520 filled columns: ['about_the_game']
App ID 3145340 filled columns: ['about_the_game']
App ID 3156770 filled columns: ['about_the_game']
App ID 3180400 filled columns: ['about_the_game']
App ID 3187010 filled columns: ['about_the_game']
App ID 3206800 filled columns: ['about_the_game']
App ID 3234890 filled columns: ['about_the_game']
App ID 3262650 filled columns: ['about_the_game']
App ID 3281490 filled columns: ['about_the_game']
App ID 3331980 filled columns: ['about_the_game']
App ID 3336220 filled columns: ['about_the_game']
App ID 3342470 filled columns: ['about_the_game']
App ID 3350750 filled columns: ['about_the_game']
App ID 3355610 filled columns: ['about_the_game']
App ID 3415760 filled columns: ['about_the_game']
App ID 3431630 filled columns: ['about_the_game']
App ID 3435120 filled columns: ['about_the_game']
App ID 3436790 filled columns: ['about_the_game']
App ID 3454840 filled columns: ['about_the_game']
App ID 3479820 filled columns: ['about_the_game']
App ID 3490760 filled columns: ['about_the_game']
App ID 3501370 filled columns: ['about_the_game']
App ID 3505700 filled columns: ['about_the_game']
App ID 3516940 filled columns: ['about_the_game']
App ID 3522750 filled columns: ['about_the_game']
App ID 3564710 filled columns: ['about_the_game']
App ID 3601120 filled columns: ['about_the_game']
App ID 3605120 filled columns: ['about_the_game']
App ID 3611710 filled columns: ['about_the_game']
App ID 3613170 filled columns: ['about_the_game']
App ID 3613470 filled columns: ['about_the_game']
App ID 3637520 filled columns: ['about_the_game']
App ID 3638410 filled columns: ['about_the_game']
App ID 3666920 filled columns: ['about_the_game']
App ID 3672780 filled columns: ['about_the_game']
App ID 3707120 filled columns: ['about_the_game']
--------------------------------------------------
